PLAYER,TEAM,AGE,GP,W ,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,plus/minus
Al-Farouq Aminu,POR,25,82,44,28.5,10.2,3.6,8.8,1.5,4.3,1.4,1.9,1.2,4.9,1.7,1.5,0.9,0.6,2.1,23.2,8,0,0.7
Allen Crabbe,POR,24,81,43,26,10.3,3.8,8.4,1.4,3.5,1.2,1.4,0.3,2.3,1.2,0.8,0.8,0.2,2.4,17.4,0,0,0.5
Brian Roberts,POR,30,51,26,9.2,4,1.5,3.2,0.3,0.8,0.8,0.9,0.1,0.7,1.1,0.5,0.2,0,0.7,6.8,0,0,-1.2
CJ McCollum,POR,24,80,44,34.7,20.8,8,17.9,2.5,5.9,2.3,2.8,0.6,2.7,4.3,2.5,1.2,0.3,2.3,33.2,2,0,2
Chris Kaman,POR,34,16,11,7,2.8,1.3,2.7,0.1,0.3,0.2,0.2,0.4,1.1,0.7,0.5,0.1,0.1,0.9,5.5,0,0,-1.9
Cliff Alexander,POR,20,8,3,4.5,1.3,0.6,1.3,0,0,0,0,0.3,0.5,0,0.1,0.1,0.3,0.1,3.2,0,0,-1.6
Damian Lillard,POR,25,75,40,35.7,25.1,8.2,19.7,3.1,8.1,5.5,6.2,0.6,3.4,6.8,3.2,0.9,0.4,2.2,40.6,15,0,1.3
Ed Davis,POR,27,81,43,20.8,6.5,2.5,4.2,0,0,1.4,2.5,2.8,4.6,1.1,0.8,0.7,0.9,2.5,21,9,0,0.3
Gerald Henderson,POR,28,72,39,19.9,8.7,3.2,7.3,0.7,1.9,1.6,2,0.4,2.5,1,0.9,0.5,0.3,1.2,15.2,0,0,0.3
Luis Montero,POR,23,12,6,3.5,1.2,0.4,1.6,0.1,0.8,0.3,0.3,0,0.3,0.1,0.3,0,0,0.1,1.4,0,0,-3.3
Mason Plumlee,POR,26,82,44,25.4,9.1,3.3,6.3,0,0,2.6,4.1,2.5,5.2,2.8,1.9,0.8,1,3.1,26.2,15,0,0.4
Maurice Harkless,POR,23,78,40,18.7,6.4,2.5,5.3,0.5,1.8,0.9,1.4,1.3,2.3,0.9,0.8,0.6,0.4,1.6,14.4,4,0,0.4
Meyers Leonard,POR,24,61,33,21.8,8.4,3.2,7.1,1.4,3.7,0.6,0.8,0.8,4.3,1.5,1.3,0.1,0.3,3,16.8,4,0,1.6
Noah Vonleh,POR,20,78,41,15,3.6,1.5,3.6,0.1,0.6,0.5,0.7,1.2,2.7,0.4,0.6,0.3,0.3,1.9,10.3,0,0,-0.8
Pat Connaughton,POR,23,34,17,4.2,1.1,0.4,1.4,0.1,0.6,0.1,0.1,0.3,0.6,0.3,0.3,0.1,0,0.2,2.5,0,0,-0.4
Phil Pressey,POR,25,23,3,12.3,3.3,1.3,3.4,0.2,0.8,0.6,1.1,0.1,1.2,3.3,1.4,0.8,0.2,1.2,11.3,0,0,-1.7
Alan Williams,PHX,23,10,3,6.8,2.9,1,2.4,0,0,0.9,1.4,1.4,2.4,0.5,0.6,0.4,0.5,1.5,10.3,1,0,0.1
Alex Len,PHX,23,78,23,23.3,9,3.4,8,0,0.1,2.2,3.1,2.3,5.3,1.2,1.9,0.5,0.8,2.9,22,19,0,-3.7
